BNF_Section,BNF_Name,Prespecified,N_Wards,Total_Items,Kendall_Tau,P_Value,Significant,D1_Mean,D10_Mean
3.2,Corticosteroids (Respiratory),True,178,508833,-0.3127658223830382,5.709704051672394e-10,True,295.33341885807937,181.50581866001102
1.3,Antisecretory & Mucosal,False,178,1435427,-0.30349774646099154,1.8036208482006504e-09,True,797.3961741947738,541.6189358119434
3.1,Bronchodilators,True,178,448906,-0.30210118707547773,2.138832976454726e-09,True,266.7283058812108,153.92099248819687
4.3,Antidepressants,True,178,2091529,-0.2819145559575954,2.3122905706282314e-08,True,1216.7348776303124,792.6228813423344
4.2,Antipsychotics,True,178,329855,-0.27150384053831017,7.426578586418874e-08,True,194.7051623867966,114.48920645914642
10.1,NSAIDs & DMARDs,False,178,533261,-0.26693328254935567,1.2234613379251445e-07,True,292.0684316760865,199.29607208326425
4.10,Substance Dependence,True,178,27885,-0.2624896845045388,1.972673164396415e-07,True,14.989879311066582,10.724100514068674
4.8,Antiepileptics,False,178,526776,-0.25220592902939126,5.789919886580894e-07,True,282.26957968721786,191.5454219453066
2.12,Lipid-Regulating Drugs,True,178,1370684,-0.24496921221354664,1.2058002407303033e-06,True,752.7279249978644,541.126211481854
3.7,Mucolytics,False,178,69303,-0.24382657271630803,1.3514257661457144e-06,True,39.779506613858246,21.08862511412195
1.2,Antispasmodics,False,178,126430,-0.24192217355424364,1.632459898636199e-06,True,74.8181827113672,46.07374130142126
6.1,Diabetes,True,178,1034110,-0.23900209483907828,2.1751729057033654e-06,True,546.1551523320223,399.0736463933681
3.3,Cromoglycate & Leukotriene,False,178,80498,-0.23836729511839017,2.314228721443719e-06,True,42.844127789516634,27.011190919309144
4.6,Nausea & Vertigo,False,178,199994,-0.2261791404811782,7.383955319099651e-06,True,110.345951505615,67.53048136907115
9.6,Vitamins,False,178,590359,-0.22579826064876532,7.649669071155503e-06,True,339.5842036855237,228.38997310584557
21.1,BNF 21.1,False,178,193019,-0.22389386148670098,9.121242956787309e-06,True,101.81443871936688,78.33293393757376
2.4,Beta-Blockers,False,178,805549,-0.21703802450326923,1.6990996637355643e-05,True,438.7131206365258,337.6142511836431
1.1,Antacids & Simeticone,False,178,98316,-0.20675426902812166,4.178946647078623e-05,True,55.38092540342557,34.0170876277684
2.9,Antiplatelet Drugs,False,178,534565,-0.19900971243572654,8.017418200380548e-05,True,283.29187307704996,219.7612296739758
10.2,Corticosteroids (Musculoskeletal),False,178,85552,-0.19215387545229481,0.00014008783137010628,True,43.62757611502291,26.338543461862383
2.6,Nitrates & Calcium Channel Blockers,False,178,829429,-0.19189995556401956,0.0001429652797690918,True,435.67300574551297,327.0302597991455
4.5,Appetite Suppressants,False,176,8827,-0.1903896103896104,0.00017586577761592877,True,5.574118787606195,3.2926030344231076
2.5,Hypertension & Heart Failure,True,178,1121891,-0.1878372373516156,0.0001972848555823372,True,579.9223403301501,440.07597930046956
4.7,Analgesics,False,178,1479569,-0.18199707992128483,0.00031007924021983984,True,786.7299910414937,571.9723289161949
4.1,Hypnotics & Anxiolytics,True,178,728826,-0.17729956198819272,0.0004420155857649895,True,406.21925124551626,268.2122360727884
2.2,Diuretics,True,178,433524,-0.17387164349647688,0.0005695724969574155,False,220.3750096093314,173.82073027048688
1.5,Chronic Bowel Disorders,False,178,53932,-0.15680050793488343,0.0018880410101800539,False,28.410094238619834,21.82659812354053
3.4,Antihistamines & Allergic Emergencies,False,178,371669,-0.15647813114962228,0.0019286282768098927,False,193.98114513048364,149.30267519802564
13.5,Psoriasis & Eczema,False,178,44642,-0.15152669332825494,0.0026743507341607216,False,27.604009681947705,17.554344108910488
0.0,BNF 0.0,False,41,114,-0.15121951219512195,0.1636922790407379,False,0.33604002864466603,0.10203981486324118
13.9,Shampoos,False,178,47688,-0.1475909350599886,0.003445822018832779,False,26.92926544139756,20.421678887774107
6.2,Thyroid Disorders,False,178,587547,-0.14721005522757571,0.0035303285386008012,False,311.16554643092854,255.84626359980743
20.5,BNF 20.5,False,138,1955,-0.14281936015748695,0.01295693915105853,False,1.5993583536171794,0.7355667307645019
13.12,Antiperspirants,False,164,2062,-0.14245099506209785,0.006779603281060586,False,1.278050968681495,0.6785327528506603
1.9,Drugs affecting intestinal secretions,False,178,21490,-0.1414968577413826,0.005045463741703861,False,11.567490148780074,9.624587481342049
21.24,BNF 21.24,False,159,2789,-0.1370113844439137,0.01037012468486637,False,1.928287798755893,0.9537107212361209
12.2,Nasal,False,178,203007,-0.13641845997587762,0.0068618513329747255,False,108.59318875265247,89.32571606218526
21.32,BNF 21.32,False,155,2761,-0.13313782991202344,0.013950018938958452,False,1.8248565162950245,1.0259268784191125
