Drug,BNF_Section,Category,N_Wards,Total_Items,Kendall_Tau,P_Value,Significant,Mean_per_1000
Metformin,6.1,Diabetes,178,161352,-0.31581286104234113,3.883803623976942e-10,True,76.97023440587603
Mirtazapine,4.3,Antidepressants,178,130675,-0.2958801498127341,4.529089657283623e-09,True,59.6335803694062
Salbutamol,3.1,Bronchodilators,178,174808,-0.2876277534437885,1.1975925337195794e-08,True,81.14508864325857
Amitriptyline,4.3,Antidepressants,178,177075,-0.2693455214879706,9.41018662680263e-08,True,81.11626768012758
Fluoxetine,4.3,Antidepressants,178,101889,-0.25944264584523585,2.7253965687298815e-07,True,47.60439785083798
Sertraline,4.3,Antidepressants,178,273715,-0.259061766012823,2.837060756648252e-07,True,126.65557107017243
Atorvastatin,2.12,Lipid-Regulating Drugs,178,469565,-0.24877801053767537,8.216102182920673e-07,True,223.89340219271372
Ramipril,2.5,Hypertension & Heart Failure,178,202073,-0.19431219450263443,0.00011773950608546172,True,97.9638353000988
Venlafaxine,4.3,Antidepressants,178,116643,-0.19177299561988195,0.00014442479022420257,True,53.49766118500254
Amlodipine,2.5,Hypertension & Heart Failure,178,218976,-0.1807274804799086,0.000341535159676388,True,107.93198644152216
Gliclazide,6.1,Diabetes,178,27123,-0.17539516282612838,0.000509147737404211,False,13.504863724936998
Zopiclone,4.1,Hypnotics & Anxiolytics,178,87494,-0.1746334031613026,0.0005385710903027411,False,43.27050848872509
Sitagliptin,6.1,Diabetes,178,19777,-0.17184028439027488,0.0006605555439126849,False,9.5536332569956
Amoxicillin,5.1,Antibacterials,178,113586,-0.16193740874754017,0.0013310592185737614,False,57.01931437136176
Trazodone,4.3,Antidepressants,168,5914,-0.13843741089250072,0.007727222168558343,False,2.9614729698102233
Bendroflumethiazide,2.2,Diuretics,178,38793,-0.13451406081381323,0.007682022073839824,False,19.12254014491055
Diazepam,4.1,Hypnotics & Anxiolytics,178,139276,-0.11826318796419731,0.01909439188087903,False,67.43111991278975
Citalopram,4.3,Antidepressants,178,148785,-0.10505935377388434,0.03734102900085871,False,70.33794413737805
Rosuvastatin,2.12,Lipid-Regulating Drugs,178,65623,-0.10137751539389324,0.044531739179794555,False,31.747426279859656
Flucloxacillin,5.1,Antibacterials,178,28922,-0.10137751539389324,0.044531739179794555,False,14.561153858369345
Duloxetine,4.3,Antidepressants,178,64476,-0.09172855963943377,0.06908973719706867,False,29.943446223757622
Simvastatin,2.12,Lipid-Regulating Drugs,178,83637,-0.07585856662223069,0.13275432601653703,False,40.45495364550129
Co-Amoxiclav,5.1,Antibacterials,178,17906,-0.07319240779534057,0.1469213808461354,False,8.935119236923017
Candesartan,2.5,Hypertension & Heart Failure,178,45795,-0.05072049768298102,0.3148224880713011,False,22.466507333406796
Nitrofurantoin,5.1,Antibacterials,178,28856,-0.04056370215197106,0.4214709305609007,False,14.275734731901036
Furosemide,2.2,Diuretics,178,80832,-0.029264267123722466,0.5619515873823209,False,39.92759727372314
Losartan,2.5,Hypertension & Heart Failure,178,51160,0.03269218561543833,0.5170638480311132,False,25.185859654815197
