WARD1992,Items,Total_Patients,Ward_Dep_Rank,Ward_MDM_Mean,Items_per_1000,Num_Practices
95AA06,90162.0,8751,135.0,2702.0,10303.051079876584,1
95AA09,84424.0,8099,103.0,2064.0,10424.002963328807,1
95AA11,263690.0,22898,143.0,2895.0,11515.852912918159,4
95AA13,99672.0,10325,85.0,1640.0,9653.462469733655,1
95AA18,87432.0,10364,131.0,2617.0,8436.12504824392,1
95AA19,40902.0,4651,4.0,92.0,8794.237798322942,1
95BB03,84181.0,7092,54.0,1051.0,11869.853355893965,1
95BB04,405981.0,34054,111.0,2202.0,11921.683209020968,5
95BB07,165567.0,15209,78.0,1426.5,10886.120060490499,2
95BB10,133687.0,10148,98.0,1980.0,13173.728813559323,1
95BB15,65496.0,5656,50.0,986.0,11579.91513437058,1
95BB16,60117.0,4675,150.0,3353.0,12859.251336898396,1
95BB20,76866.0,6389,41.0,910.0,12030.990765377994,1
95CC03,259045.0,26590,8.0,205.0,9742.196314403911,3
95CC07,82860.0,9681,63.0,1130.0,8559.03315773164,1
95CC11,20553.0,2626,25.0,523.0,7826.732673267327,1
95CC13,62024.0,6552,90.0,1714.0,9466.422466422466,1
95CC16,74995.0,6710,37.0,836.0,11176.602086438152,1
95CC20,57252.0,5607,146.0,3275.0,10210.807918673087,1
95CC21,35524.0,3776,48.0,964.0,9407.838983050848,1
95DD02,59869.0,5716,42.0,913.0,10473.932820153954,1
95DD07,71876.0,7466,164.0,3793.0,9627.109563353872,1
95DD08,46013.0,4100,62.0,1116.0,11222.682926829268,1
95DD10,131907.0,12271,69.0,1232.0,10749.490669057126,2
95DD11,241162.0,23429,18.0,400.0,10293.311707712664,3
95DD13,51916.0,6181,67.0,1220.0,8399.288141077495,1
95DD19,47742.0,3909,123.0,2397.0,12213.353798925556,1
95DD21,84826.0,7385,102.0,2060.0,11486.255924170615,2
95DD22,77228.0,6988,87.0,1670.0,11051.516886090441,1
95EE03,201993.0,18859,72.0,1338.0,10710.695158810116,1
95EE04,59280.0,5391,100.0,2016.0,10996.104618809126,1
95EE09,47125.0,4677,114.0,2213.0,10075.903356852683,1
95FF02,27064.0,2812,104.0,2089.0,9624.466571834993,1
95FF06,80312.0,8340,167.0,3872.0,9629.736211031175,1
95FF08,231922.0,22607,107.0,2125.0,10258.857875879154,3
95FF09,77392.0,6507,49.0,985.0,11893.652989088674,1
95FF13,123311.0,11789,96.0,1888.5,10459.83543981678,2
95FF15,116882.0,11710,110.0,2196.0,9981.38343296328,3
95GG01,336483.0,29889,127.0,2467.0,11257.753688647997,5
95GG03,70161.0,8942,172.0,3937.0,7846.231268172668,1
95GG04,135944.0,10734,21.0,430.5,12664.803428358488,2
95GG05,58375.0,6998,137.0,2751.0,8341.669048299513,1
95GG06,68573.0,5723,34.0,748.0,11982.002446269438,1
95GG11,41875.0,4546,51.0,1032.0,9211.394632644084,1
95GG12,161689.0,30957,66.0,1204.5,5223.0190263914465,4
95GG16,171839.0,17323,33.0,673.0,9919.702130116031,2
95GG18,401219.0,26897,22.0,431.0,14916.86805219913,4
95GG19,52730.0,2898,39.0,891.0,18195.307108350586,1
95GG20,292892.0,23289,13.0,332.6666666666667,12576.409463695307,4
95GG21,359749.0,26175,19.0,406.0,13743.9923591213,5
95GG23,126737.0,13608,168.0,3875.0,9313.418577307466,1
95GG28,87270.0,6762,93.0,1855.0,12905.944986690327,1
95GG29,390394.0,32236,97.0,1931.0,12110.497580344956,6
95GG30,55326.0,6311,170.0,3899.0,8766.598003485977,1
95GG32,196062.0,14206,99.0,2015.0,13801.35154160214,3
95GG33,23942.0,4177,176.0,4332.0,5731.864974862342,1
95GG35,303546.0,21243,15.0,360.5,14289.224685778845,3
95GG37,86254.0,9648,154.0,3503.0,8940.091210613598,1
95GG38,44005.0,5723,147.0,3297.0,7689.149047702254,1
95GG39,319929.0,35997,47.0,962.5,8887.6573047754,5
95GG40,271187.0,16400,3.0,68.0,16535.79268292683,5
95GG44,162893.0,14934,30.0,613.0,10907.526449712066,3
95GG47,78556.0,5816,1.0,2.0,13506.87757909216,1
95GG48,51220.0,3590,26.0,529.0,14267.409470752089,1
95GG51,114172.0,7776,65.0,1178.0,14682.613168724281,1
95HH08,122690.0,11752,148.0,3341.0,10439.92511912866,1
95HH15,252372.0,22498,79.0,1432.0,11217.530447150859,2
